      #Energy        PDOS
      -7.87340       0.00000
      -7.85840       0.00000
      -7.84440       0.00000
      -7.82940       0.00000
      -7.81540       0.00000
      -7.80040       0.00000
      -7.78640       0.00000
      -7.77140       0.00000
      -7.75740       0.00000
      -7.74240       0.00000
      -7.72840       0.00000
      -7.71340       0.00000
      -7.69940       0.00000
      -7.68440       0.00000
      -7.67040       0.00000
      -7.65540       0.00000
      -7.64140       0.00000
      -7.62640       0.00000
      -7.61240       0.00000
      -7.59840       0.00000
      -7.58340       0.00000
      -7.56940       0.00000
      -7.55440       0.00000
      -7.54040       0.00000
      -7.52540       0.00000
      -7.51140       0.00000
      -7.49640       0.00000
      -7.48240       0.00000
      -7.46740       0.00000
      -7.45340       0.00000
      -7.43840       0.00000
      -7.42440       0.00000
      -7.40940       0.00000
      -7.39540       0.00000
      -7.38040       0.00000
      -7.36640       0.00000
      -7.35140       0.00000
      -7.33740       0.00000
      -7.32240       0.00000
      -7.30840       0.00000
      -7.29340       0.00000
      -7.27940       0.00000
      -7.26540       0.00000
      -7.25040       0.00001
      -7.23640       0.00002
      -7.22140       0.00004
      -7.20740       0.00008
      -7.19240       0.00012
      -7.17840       0.00017
      -7.16340       0.00020
      -7.14940       0.00022
      -7.13440       0.00026
      -7.12040       0.00034
      -7.10540       0.00048
      -7.09140       0.00068
      -7.07640       0.00089
      -7.06240       0.00106
      -7.04740       0.00116
      -7.03340       0.00114
      -7.01840       0.00101
      -7.00440       0.00081
      -6.98940       0.00062
      -6.97540       0.00057
      -6.96040       0.00075
      -6.94640       0.00122
      -6.93240       0.00195
      -6.91740       0.00274
      -6.90340       0.00331
      -6.88840       0.00348
      -6.87440       0.00329
      -6.85940       0.00296
      -6.84540       0.00274
      -6.83040       0.00268
      -6.81640       0.00264
      -6.80140       0.00243
      -6.78740       0.00201
      -6.77240       0.00155
      -6.75840       0.00131
      -6.74340       0.00154
      -6.72940       0.00241
      -6.71440       0.00395
      -6.70040       0.00598
      -6.68540       0.00811
      -6.67140       0.00980
      -6.65640       0.01047
      -6.64240       0.00986
      -6.62740       0.00820
      -6.61340       0.00618
      -6.59940       0.00464
      -6.58440       0.00409
      -6.57040       0.00449
      -6.55540       0.00531
      -6.54140       0.00588
      -6.52640       0.00576
      -6.51240       0.00508
      -6.49740       0.00448
      -6.48340       0.00479
      -6.46840       0.00661
      -6.45440       0.00994
      -6.43940       0.01409
      -6.42540       0.01810
      -6.41040       0.02123
      -6.39640       0.02326
      -6.38140       0.02412
      -6.36740       0.02361
      -6.35240       0.02143
      -6.33840       0.01788
      -6.32340       0.01409
      -6.30940       0.01144
      -6.29440       0.01079
      -6.28040       0.01189
      -6.26640       0.01365
      -6.25140       0.01486
      -6.23740       0.01502
      -6.22240       0.01495
      -6.20840       0.01656
      -6.19340       0.02210
      -6.17940       0.03319
      -6.16440       0.05050
      -6.15040       0.07404
      -6.13540       0.10392
      -6.12140       0.14021
      -6.10640       0.18219
      -6.09240       0.22827
      -6.07740       0.27759
      -6.06340       0.33081
      -6.04840       0.38967
      -6.03440       0.45447
      -6.01940       0.52401
      -6.00540       0.59832
      -5.99040       0.68091
      -5.97640       0.77751
      -5.96140       0.88968
      -5.94740       1.00986
      -5.93340       1.12314
      -5.91840       1.21650
      -5.90440       1.28682
      -5.88940       1.34280
      -5.87540       1.39182
      -5.86040       1.43358
      -5.84640       1.46136
      -5.83140       1.47060
      -5.81740       1.46850
      -5.80240       1.47006
      -5.78840       1.48740
      -5.77340       1.52808
      -5.75940       1.59954
      -5.74440       1.71654
      -5.73040       1.89510
      -5.71540       2.13540
      -5.70140       2.41290
      -5.68640       2.68230
      -5.67240       2.89890
      -5.65740       3.04200
      -5.64340       3.13260
      -5.62840       3.20670
      -5.61440       3.28560
      -5.59940       3.37170
      -5.58540       3.48390
      -5.57140       3.67500
      -5.55640       3.99630
      -5.54240       4.43610
      -5.52740       4.89570
      -5.51340       5.23830
      -5.49840       5.38770
      -5.48440       5.37480
      -5.46940       5.29350
      -5.45540       5.21310
      -5.44040       5.14170
      -5.42640       5.06190
      -5.41140       5.00040
      -5.39740       5.01780
      -5.38240       5.15220
      -5.36840       5.38680
      -5.35340       5.68020
      -5.33940       6.01050
      -5.32440       6.38070
      -5.31040       6.78450
      -5.29540       7.17420
      -5.28140       7.46640
      -5.26640       7.58340
      -5.25240       7.50720
      -5.23840       7.31490
      -5.22340       7.16130
      -5.20940       7.19070
      -5.19440       7.44900
      -5.18040       7.85520
      -5.16540       8.26650
      -5.15140       8.56320
      -5.13640       8.68470
      -5.12240       8.62230
      -5.10740       8.38740
      -5.09340       7.99920
      -5.07840       7.48470
      -5.06440       6.88980
      -5.04940       6.29460
      -5.03540       5.79300
      -5.02040       5.45970
      -5.00640       5.31090
      -4.99140       5.29110
      -4.97740       5.30820
      -4.96240       5.28090
      -4.94840       5.18670
      -4.93340       5.06310
      -4.91940       4.96500
      -4.90540       4.92180
      -4.89040       4.93320
      -4.87640       4.99290
      -4.86140       5.08530
      -4.84740       5.18160
      -4.83240       5.24070
      -4.81840       5.25030
      -4.80340       5.23170
      -4.78940       5.22030
      -4.77440       5.22810
      -4.76040       5.25750
      -4.74540       5.33730
      -4.73140       5.51310
      -4.71640       5.79600
      -4.70240       6.11970
      -4.68740       6.37800
      -4.67340       6.50880
      -4.65840       6.55260
      -4.64440       6.62580
      -4.62940       6.83250
      -4.61540       7.20510
      -4.60040       7.69410
      -4.58640       8.22690
      -4.57240       8.77440
      -4.55740       9.36750
      -4.54340      10.06200
      -4.52840      10.87470
      -4.51440      11.75040
      -4.49940      12.59400
      -4.48540      13.28220
      -4.47040      13.71600
      -4.45640      13.79520
      -4.44140      13.48620
      -4.42740      12.85860
      -4.41240      12.06900
      -4.39840      11.28990
      -4.38340      10.61670
      -4.36940      10.05660
      -4.35440       9.59520
      -4.34040       9.25740
      -4.32540       9.11730
      -4.31140       9.25770
      -4.29640       9.70470
      -4.28240      10.37190
      -4.26740      11.05620
      -4.25340      11.51310
      -4.23940      11.58180
      -4.22440      11.27220
      -4.21040      10.73850
      -4.19540      10.16730
      -4.18140       9.68790
      -4.16640       9.35520
      -4.15240       9.15930
      -4.13740       9.05370
      -4.12340       8.99130
      -4.10840       8.99160
      -4.09440       9.17400
      -4.07940       9.67470
      -4.06540      10.48470
      -4.05040      11.37030
      -4.03640      11.97600
      -4.02140      12.06990
      -4.00740      11.69010
      -3.99240      11.08350
      -3.97840      10.51530
      -3.96340      10.12680
      -3.94940       9.93060
      -3.93440       9.88950
      -3.92040       9.96450
      -3.90640      10.12110
      -3.89140      10.32150
      -3.87740      10.52130
      -3.86240      10.66830
      -3.84840      10.71840
      -3.83340      10.67160
      -3.81940      10.60980
      -3.80440      10.68960
      -3.79040      10.98630
      -3.77540      11.42400
      -3.76140      11.80080
      -3.74640      11.92080
      -3.73240      11.76330
      -3.71740      11.48040
      -3.70340      11.24220
      -3.68840      11.13210
      -3.67440      11.11050
      -3.65940      11.08650
      -3.64540      11.01330
      -3.63040      10.90350
      -3.61640      10.81980
      -3.60140      10.85640
      -3.58740      11.10840
      -3.57240      11.60220
      -3.55840      12.26940
      -3.54440      12.90450
      -3.52940      13.25550
      -3.51540      13.17270
      -3.50040      12.73560
      -3.48640      12.22590
      -3.47140      11.92500
      -3.45740      11.91570
      -3.44240      12.04560
      -3.42840      12.07770
      -3.41340      11.88150
      -3.39940      11.50860
      -3.38440      11.14320
      -3.37040      11.02410
      -3.35540      11.29920
      -3.34140      11.96820
      -3.32640      12.88620
      -3.31240      13.83540
      -3.29740      14.61060
      -3.28340      15.11400
      -3.26840      15.34080
      -3.25440      15.32220
      -3.23940      15.00570
      -3.22540      14.29230
      -3.21140      13.11690
      -3.19640      11.56530
      -3.18240       9.93120
      -3.16740       8.60730
      -3.15340       7.93830
      -3.13840       8.05860
      -3.12440       8.85480
      -3.10940      10.01580
      -3.09540      11.16420
      -3.08040      11.99340
      -3.06640      12.38820
      -3.05140      12.45420
      -3.03740      12.39480
      -3.02240      12.38100
      -3.00840      12.45780
      -2.99340      12.56160
      -2.97940      12.56730
      -2.96440      12.32430
      -2.95040      11.71650
      -2.93540      10.73970
      -2.92140       9.54840
      -2.90640       8.41380
      -2.89240       7.58790
      -2.87840       7.17270
      -2.86340       7.07400
      -2.84940       7.07040
      -2.83440       6.94290
      -2.82040       6.57630
      -2.80540       5.98890
      -2.79140       5.28228
      -2.77640       4.57962
      -2.76240       3.96846
      -2.74740       3.46512
      -2.73340       3.01851
      -2.71840       2.55487
      -2.70440       2.04293
      -2.68940       1.51180
      -2.67540       1.02640
      -2.66040       0.63775
      -2.64640       0.36353
      -2.63140       0.19030
      -2.61740       0.09186
      -2.60240       0.04248
      -2.58840       0.02343
      -2.57340       0.02391
      -2.55940       0.03863
      -2.54540       0.06397
      -2.53040       0.09548
      -2.51640       0.12965
      -2.50140       0.16976
      -2.48740       0.23046
      -2.47240       0.33274
      -2.45840       0.48906
      -2.44340       0.68772
      -2.42940       0.88773
      -2.41440       1.03146
      -2.40040       1.07067
      -2.38540       0.98916
      -2.37140       0.81579
      -2.35640       0.60882
      -2.34240       0.42465
      -2.32740       0.29276
      -2.31340       0.21273
      -2.29840       0.16939
      -2.28440       0.14868
      -2.26940       0.14217
      -2.25540       0.14365
      -2.24040       0.14554
      -2.22640       0.14043
      -2.21240       0.12533
      -2.19740       0.10441
      -2.18340       0.08670
      -2.16840       0.08041
      -2.15440       0.08768
      -2.13940       0.10345
      -2.12540       0.11851
      -2.11040       0.12377
      -2.09640       0.11483
      -2.08140       0.09371
      -2.06740       0.06756
      -2.05240       0.04532
      -2.03840       0.03391
      -2.02340       0.03649
      -2.00940       0.05191
      -1.99440       0.07494
      -1.98040       0.09762
      -1.96540       0.11329
      -1.95140       0.12071
      -1.93640       0.12490
      -1.92240       0.13432
      -1.90740       0.15851
      -1.89340       0.20942
      -1.87940       0.30059
      -1.86440       0.43751
      -1.85040       0.60231
      -1.83540       0.75096
      -1.82140       0.83301
      -1.80640       0.82119
      -1.79240       0.72534
      -1.77740       0.58023
      -1.76340       0.42482
      -1.74840       0.28760
      -1.73440       0.18518
      -1.71940       0.12532
      -1.70540       0.10886
      -1.69040       0.13008
      -1.67640       0.17649
      -1.66140       0.22948
      -1.64740       0.26845
      -1.63240       0.27770
      -1.61840       0.25346
      -1.60340       0.20539
      -1.58940       0.15202
      -1.57440       0.11093
      -1.56040       0.09007
      -1.54540       0.08540
      -1.53140       0.08588
      -1.51740       0.08111
      -1.50240       0.06746
      -1.48840       0.04823
      -1.47340       0.02960
      -1.45940       0.01628
      -1.44440       0.01004
      -1.43040       0.01093
      -1.41540       0.01854
      -1.40140       0.03192
      -1.38640       0.04849
      -1.37240       0.06382
      -1.35740       0.07377
      -1.34340       0.07766
      -1.32840       0.07926
      -1.31440       0.08407
      -1.29940       0.09500
      -1.28540       0.10993
      -1.27040       0.12386
      -1.25640       0.13331
      -1.24140       0.14021
      -1.22740       0.15224
      -1.21240       0.18098
      -1.19840       0.23794
      -1.18440       0.32804
      -1.16940       0.44121
      -1.15540       0.54982
      -1.14040       0.61944
      -1.12640       0.62883
      -1.11140       0.58170
      -1.09740       0.50152
      -1.08240       0.41323
      -1.06840       0.33159
      -1.05340       0.26083
      -1.03940       0.20184
      -1.02440       0.15665
      -1.01040       0.12664
      -0.99540       0.10894
      -0.98140       0.09670
      -0.96640       0.08385
      -0.95240       0.06987
      -0.93740       0.05985
      -0.92340       0.05987
      -0.90840       0.07153
      -0.89440       0.09011
      -0.87940       0.10753
      -0.86540       0.11846
      -0.85140       0.12418
      -0.83640       0.13124
      -0.82240       0.14465
      -0.80740       0.16294
      -0.79340       0.17846
      -0.77840       0.18332
      -0.76440       0.17521
      -0.74940       0.15811
      -0.73540       0.13896
      -0.72040       0.12204
      -0.70640       0.10751
      -0.69140       0.09338
      -0.67740       0.07891
      -0.66240       0.06598
      -0.64840       0.05729
      -0.63340       0.05452
      -0.61940       0.05719
      -0.60440       0.06310
      -0.59040       0.06947
      -0.57540       0.07363
      -0.56140       0.07367
      -0.54640       0.06910
      -0.53240       0.06123
      -0.51840       0.05307
      -0.50340       0.04878
      -0.48940       0.05286
      -0.47440       0.06894
      -0.46040       0.09934
      -0.44540       0.14578
      -0.43140       0.20960
      -0.41640       0.28951
      -0.40240       0.37709
      -0.38740       0.45582
      -0.37340       0.50718
      -0.35840       0.51927
      -0.34440       0.49140
      -0.32940       0.43260
      -0.31540       0.35921
      -0.30040       0.29147
      -0.28640       0.24788
      -0.27140       0.23657
      -0.25740       0.24961
      -0.24240       0.26726
      -0.22840       0.27028
      -0.21340       0.25145
      -0.19940       0.21830
      -0.18540       0.18703
      -0.17040       0.17154
      -0.15640       0.17515
      -0.14140       0.18896
      -0.12740       0.19745
      -0.11240       0.18799
      -0.09840       0.15908
      -0.08340       0.12059
      -0.06940       0.08714
      -0.05440       0.06956
      -0.04040       0.07047
      -0.02540       0.08553
      -0.01140       0.10721
       0.00360       0.12802
       0.01760       0.14174
       0.03260       0.14379
       0.04660       0.13227
       0.06160       0.10970
       0.07560       0.08304
       0.09060       0.06120
       0.10460       0.05102
       0.11960       0.05436
       0.13360       0.06737
       0.14760       0.08221
       0.16260       0.09088
       0.17660       0.08985
       0.19160       0.08230
       0.20560       0.07560
       0.22060       0.07556
       0.23460       0.08179
       0.24960       0.08847
       0.26360       0.08932
       0.27860       0.08274
       0.29260       0.07221
       0.30760       0.06337
       0.32160       0.06089
       0.33660       0.06749
       0.35060       0.08458
       0.36560       0.11300
       0.37960       0.15355
       0.39460       0.20750
       0.40860       0.27532
       0.42360       0.35261
       0.43760       0.42747
       0.45260       0.48309
       0.46660       0.50742
