      #Energy        PDOS
      -9.16804       0.00000
      -9.15304       0.00000
      -9.13704       0.00000
      -9.12104       0.00000
      -9.10604       0.00000
      -9.09004       0.00000
      -9.07504       0.00000
      -9.05904       0.00000
      -9.04304       0.00000
      -9.02804       0.00000
      -9.01204       0.00000
      -8.99604       0.00000
      -8.98104       0.00000
      -8.96504       0.00000
      -8.94904       0.00000
      -8.93404       0.00000
      -8.91804       0.00000
      -8.90204       0.00000
      -8.88704       0.00000
      -8.87104       0.00000
      -8.85604       0.00000
      -8.84004       0.00000
      -8.82404       0.00000
      -8.80904       0.00000
      -8.79304       0.00000
      -8.77704       0.00000
      -8.76204       0.00000
      -8.74604       0.00000
      -8.73004       0.00000
      -8.71504       0.00000
      -8.69904       0.00000
      -8.68304       0.00000
      -8.66804       0.00000
      -8.65204       0.00000
      -8.63604       0.00000
      -8.62104       0.00000
      -8.60504       0.00000
      -8.59004       0.00000
      -8.57404       0.00000
      -8.55804       0.00000
      -8.54304       0.00000
      -8.52704       0.00000
      -8.51104       0.00000
      -8.49604       0.00000
      -8.48004       0.00000
      -8.46404       0.00001
      -8.44904       0.00001
      -8.43304       0.00002
      -8.41704       0.00003
      -8.40204       0.00003
      -8.38604       0.00003
      -8.37104       0.00003
      -8.35504       0.00003
      -8.33904       0.00003
      -8.32404       0.00004
      -8.30804       0.00006
      -8.29204       0.00007
      -8.27704       0.00009
      -8.26104       0.00009
      -8.24504       0.00009
      -8.23004       0.00008
      -8.21404       0.00007
      -8.19804       0.00005
      -8.18304       0.00003
      -8.16704       0.00004
      -8.15104       0.00006
      -8.13604       0.00010
      -8.12004       0.00016
      -8.10504       0.00022
      -8.08904       0.00024
      -8.07304       0.00024
      -8.05804       0.00020
      -8.04204       0.00014
      -8.02604       0.00010
      -8.01104       0.00008
      -7.99504       0.00009
      -7.97904       0.00011
      -7.96404       0.00014
      -7.94804       0.00015
      -7.93204       0.00014
      -7.91704       0.00012
      -7.90104       0.00009
      -7.88604       0.00006
      -7.87004       0.00005
      -7.85404       0.00007
      -7.83904       0.00011
      -7.82304       0.00018
      -7.80704       0.00025
      -7.79204       0.00031
      -7.77604       0.00032
      -7.76004       0.00030
      -7.74504       0.00026
      -7.72904       0.00022
      -7.71304       0.00019
      -7.69804       0.00018
      -7.68204       0.00018
      -7.66604       0.00020
      -7.65104       0.00023
      -7.63504       0.00026
      -7.62004       0.00028
      -7.60404       0.00027
      -7.58804       0.00024
      -7.57304       0.00019
      -7.55704       0.00015
      -7.54104       0.00013
      -7.52604       0.00015
      -7.51004       0.00021
      -7.49404       0.00031
      -7.47904       0.00042
      -7.46304       0.00052
      -7.44704       0.00062
      -7.43204       0.00071
      -7.41604       0.00080
      -7.40104       0.00088
      -7.38504       0.00093
      -7.36904       0.00089
      -7.35404       0.00075
      -7.33804       0.00057
      -7.32204       0.00039
      -7.30704       0.00031
      -7.29104       0.00038
      -7.27504       0.00058
      -7.26004       0.00084
      -7.24404       0.00108
      -7.22804       0.00122
      -7.21304       0.00129
      -7.19704       0.00143
      -7.18104       0.00178
      -7.16604       0.00234
      -7.15004       0.00299
      -7.13504       0.00351
      -7.11904       0.00374
      -7.10304       0.00366
      -7.08804       0.00339
      -7.07204       0.00309
      -7.05604       0.00296
      -7.04104       0.00313
      -7.02504       0.00356
      -7.00904       0.00408
      -6.99404       0.00448
      -6.97804       0.00476
      -6.96204       0.00502
      -6.94704       0.00534
      -6.93104       0.00568
      -6.91504       0.00596
      -6.90004       0.00627
      -6.88404       0.00676
      -6.86904       0.00743
      -6.85304       0.00807
      -6.83704       0.00839
      -6.82204       0.00830
      -6.80604       0.00793
      -6.79004       0.00744
      -6.77504       0.00683
      -6.75904       0.00603
      -6.74304       0.00510
      -6.72804       0.00433
      -6.71204       0.00412
      -6.69604       0.00469
      -6.68104       0.00595
      -6.66504       0.00749
      -6.65004       0.00882
      -6.63404       0.00955
      -6.61804       0.00957
      -6.60304       0.00906
      -6.58704       0.00828
      -6.57104       0.00756
      -6.55604       0.00723
      -6.54004       0.00748
      -6.52404       0.00812
      -6.50904       0.00874
      -6.49304       0.00903
      -6.47704       0.00901
      -6.46204       0.00906
      -6.44604       0.00968
      -6.43004       0.01134
      -6.41504       0.01421
      -6.39904       0.01780
