      #Energy        PDOS
      -9.16804       0.00000
      -9.15304       0.00000
      -9.13704       0.00000
      -9.12104       0.00000
      -9.10604       0.00000
      -9.09004       0.00000
      -9.07504       0.00000
      -9.05904       0.00000
      -9.04304       0.00000
      -9.02804       0.00000
      -9.01204       0.00000
      -8.99604       0.00000
      -8.98104       0.00000
      -8.96504       0.00000
      -8.94904       0.00000
      -8.93404       0.00000
      -8.91804       0.00000
      -8.90204       0.00000
      -8.88704       0.00000
      -8.87104       0.00000
      -8.85604       0.00000
      -8.84004       0.00000
      -8.82404       0.00000
      -8.80904       0.00000
      -8.79304       0.00000
      -8.77704       0.00000
      -8.76204       0.00000
      -8.74604       0.00000
      -8.73004       0.00000
      -8.71504       0.00000
      -8.69904       0.00000
      -8.68304       0.00000
      -8.66804       0.00000
      -8.65204       0.00000
      -8.63604       0.00000
      -8.62104       0.00000
      -8.60504       0.00000
      -8.59004       0.00000
      -8.57404       0.00000
      -8.55804       0.00000
      -8.54304       0.00000
      -8.52704       0.00000
      -8.51104       0.00000
      -8.49604       0.00000
      -8.48004       0.00001
      -8.46404       0.00001
      -8.44904       0.00003
      -8.43304       0.00004
      -8.41704       0.00005
      -8.40204       0.00006
      -8.38604       0.00006
      -8.37104       0.00006
      -8.35504       0.00005
      -8.33904       0.00006
      -8.32404       0.00008
      -8.30804       0.00012
      -8.29204       0.00015
      -8.27704       0.00018
      -8.26104       0.00019
      -8.24504       0.00019
      -8.23004       0.00017
      -8.21404       0.00014
      -8.19804       0.00010
      -8.18304       0.00007
      -8.16704       0.00008
      -8.15104       0.00013
      -8.13604       0.00023
      -8.12004       0.00035
      -8.10504       0.00047
      -8.08904       0.00053
      -8.07304       0.00052
      -8.05804       0.00043
      -8.04204       0.00031
      -8.02604       0.00022
      -8.01104       0.00018
      -7.99504       0.00019
      -7.97904       0.00024
      -7.96404       0.00030
      -7.94804       0.00032
      -7.93204       0.00031
      -7.91704       0.00026
      -7.90104       0.00020
      -7.88604       0.00014
      -7.87004       0.00012
      -7.85404       0.00015
      -7.83904       0.00025
      -7.82304       0.00039
      -7.80704       0.00055
      -7.79204       0.00066
      -7.77604       0.00070
      -7.76004       0.00065
      -7.74504       0.00056
      -7.72904       0.00046
      -7.71304       0.00039
      -7.69804       0.00036
      -7.68204       0.00036
      -7.66604       0.00039
      -7.65104       0.00045
      -7.63504       0.00052
      -7.62004       0.00056
      -7.60404       0.00055
      -7.58804       0.00047
      -7.57304       0.00038
      -7.55704       0.00029
      -7.54104       0.00026
      -7.52604       0.00032
      -7.51004       0.00046
      -7.49404       0.00066
      -7.47904       0.00087
      -7.46304       0.00106
      -7.44704       0.00122
      -7.43204       0.00134
      -7.41604       0.00148
      -7.40104       0.00160
      -7.38504       0.00167
      -7.36904       0.00160
      -7.35404       0.00136
      -7.33804       0.00101
      -7.32204       0.00070
      -7.30704       0.00055
      -7.29104       0.00064
      -7.27504       0.00097
      -7.26004       0.00142
      -7.24404       0.00181
      -7.22804       0.00203
      -7.21304       0.00211
      -7.19704       0.00228
      -7.18104       0.00276
      -7.16604       0.00360
      -7.15004       0.00457
      -7.13504       0.00538
      -7.11904       0.00579
      -7.10304       0.00576
      -7.08804       0.00544
      -7.07204       0.00507
      -7.05604       0.00495
      -7.04104       0.00528
      -7.02504       0.00605
      -7.00904       0.00696
      -6.99404       0.00771
      -6.97804       0.00824
      -6.96204       0.00873
      -6.94704       0.00930
      -6.93104       0.00987
      -6.91504       0.01035
      -6.90004       0.01089
      -6.88404       0.01170
      -6.86904       0.01277
      -6.85304       0.01371
      -6.83704       0.01407
      -6.82204       0.01375
      -6.80604       0.01302
      -6.79004       0.01215
      -6.77504       0.01113
      -6.75904       0.00982
      -6.74304       0.00834
      -6.72804       0.00716
      -6.71204       0.00690
      -6.69604       0.00786
      -6.68104       0.00983
      -6.66504       0.01219
      -6.65004       0.01422
      -6.63404       0.01536
      -6.61804       0.01550
      -6.60304       0.01481
      -6.58704       0.01364
      -6.57104       0.01247
      -6.55604       0.01187
      -6.54004       0.01224
      -6.52404       0.01335
      -6.50904       0.01451
      -6.49304       0.01508
      -6.47704       0.01498
      -6.46204       0.01479
      -6.44604       0.01550
      -6.43004       0.01805
      -6.41504       0.02269
      -6.39904       0.02850
