      #Energy        PDOS
      -9.57993       0.00000
      -9.56393       0.00000
      -9.54793       0.00000
      -9.53193       0.00000
      -9.51593       0.00000
      -9.49993       0.00000
      -9.48393       0.00000
      -9.46793       0.00000
      -9.45193       0.00000
      -9.43493       0.00000
      -9.41893       0.00000
      -9.40293       0.00000
      -9.38693       0.00000
      -9.37093       0.00000
      -9.35493       0.00000
      -9.33893       0.00000
      -9.32293       0.00000
      -9.30693       0.00000
      -9.29093       0.00000
      -9.27493       0.00000
      -9.25893       0.00000
      -9.24293       0.00000
      -9.22693       0.00000
      -9.21093       0.00000
      -9.19493       0.00000
      -9.17793       0.00000
      -9.16193       0.00000
      -9.14593       0.00000
      -9.12993       0.00000
      -9.11393       0.00000
      -9.09793       0.00000
      -9.08193       0.00000
      -9.06593       0.00000
      -9.04993       0.00000
      -9.03393       0.00000
      -9.01793       0.00000
      -9.00193       0.00000
      -8.98593       0.00000
      -8.96993       0.00000
      -8.95393       0.00000
      -8.93793       0.00000
      -8.92093       0.00000
      -8.90493       0.00000
      -8.88893       0.00000
      -8.87293       0.00001
      -8.85693       0.00002
      -8.84093       0.00003
      -8.82493       0.00005
      -8.80893       0.00007
      -8.79293       0.00009
      -8.77693       0.00009
      -8.76093       0.00008
      -8.74493       0.00008
      -8.72893       0.00011
      -8.71293       0.00016
      -8.69693       0.00024
      -8.68093       0.00031
      -8.66393       0.00037
      -8.64793       0.00041
      -8.63193       0.00040
      -8.61593       0.00036
      -8.59993       0.00028
      -8.58393       0.00018
      -8.56793       0.00011
      -8.55193       0.00009
      -8.53593       0.00016
      -8.51993       0.00033
      -8.50393       0.00060
      -8.48793       0.00091
      -8.47193       0.00113
      -8.45593       0.00117
      -8.43993       0.00103
      -8.42393       0.00082
      -8.40693       0.00067
      -8.39093       0.00063
      -8.37493       0.00065
      -8.35893       0.00067
      -8.34293       0.00064
      -8.32693       0.00055
      -8.31093       0.00043
      -8.29493       0.00035
      -8.27893       0.00037
      -8.26293       0.00048
      -8.24693       0.00067
      -8.23093       0.00093
      -8.21493       0.00128
      -8.19893       0.00178
      -8.18293       0.00239
      -8.16693       0.00290
      -8.14993       0.00302
      -8.13393       0.00263
      -8.11793       0.00190
      -8.10193       0.00116
      -8.08593       0.00067
      -8.06993       0.00054
      -8.05393       0.00073
      -8.03793       0.00114
      -8.02193       0.00154
      -8.00593       0.00172
      -7.98993       0.00158
      -7.97393       0.00119
      -7.95793       0.00077
      -7.94193       0.00054
      -7.92593       0.00065
      -7.90993       0.00120
      -7.89293       0.00218
      -7.87693       0.00337
      -7.86093       0.00438
      -7.84493       0.00490
      -7.82893       0.00495
      -7.81293       0.00483
      -7.79693       0.00475
      -7.78093       0.00470
      -7.76493       0.00447
      -7.74893       0.00390
      -7.73293       0.00303
      -7.71693       0.00208
      -7.70093       0.00129
      -7.68493       0.00087
      -7.66893       0.00094
      -7.65293       0.00155
      -7.63593       0.00255
      -7.61993       0.00363
      -7.60393       0.00445
      -7.58793       0.00483
      -7.57193       0.00496
      -7.55593       0.00514
      -7.53993       0.00561
      -7.52393       0.00649
      -7.50793       0.00780
      -7.49193       0.00941
      -7.47593       0.01091
      -7.45993       0.01175
      -7.44393       0.01158
      -7.42793       0.01064
      -7.41193       0.00964
      -7.39593       0.00929
      -7.37893       0.00968
      -7.36293       0.01028
      -7.34693       0.01035
      -7.33093       0.00958
      -7.31493       0.00820
      -7.29893       0.00679
      -7.28293       0.00594
      -7.26693       0.00587
      -7.25093       0.00640
      -7.23493       0.00701
      -7.21893       0.00723
      -7.20293       0.00692
      -7.18693       0.00635
      -7.17093       0.00601
      -7.15493       0.00632
      -7.13893       0.00757
      -7.12193       0.00981
      -7.10593       0.01271
      -7.08993       0.01555
      -7.07393       0.01747
      -7.05793       0.01793
      -7.04193       0.01707
      -7.02593       0.01552
      -7.00993       0.01401
      -6.99393       0.01317
      -6.97793       0.01360
      -6.96193       0.01558
      -6.94593       0.01853
      -6.92993       0.02091
      -6.91393       0.02104
      -6.89793       0.01838
      -6.88193       0.01392
      -6.86493       0.00947
      -6.84893       0.00650
      -6.83293       0.00556
      -6.81693       0.00631
      -6.80093       0.00797
      -6.78493       0.00971
      -6.76893       0.01092
      -6.75293       0.01147
      -6.73693       0.01188
      -6.72093       0.01318
      -6.70493       0.01655
      -6.68893       0.02282
      -6.67293       0.03195
      -6.65693       0.04248
      -6.64093       0.05156
      -6.62493       0.05611
      -6.60793       0.05469
      -6.59193       0.04858
      -6.57593       0.04083
      -6.55993       0.03430
      -6.54393       0.03037
      -6.52793       0.02918
      -6.51193       0.03052
      -6.49593       0.03470
      -6.47993       0.04302
      -6.46393       0.05726
      -6.44793       0.07793
      -6.43193       0.10231
      -6.41593       0.12427
      -6.39993       0.13822
      -6.38393       0.14420
      -6.36793       0.14931
      -6.35193       0.16274
      -6.33493       0.18879
      -6.31893       0.22332
      -6.30293       0.25659
      -6.28693       0.27844
      -6.27093       0.28204
      -6.25493       0.26542
      -6.23893       0.23331
      -6.22293       0.19768
      -6.20693       0.17301
      -6.19093       0.16908
      -6.17493       0.18707
      -6.15893       0.22064
      -6.14293       0.25899
      -6.12693       0.28994
      -6.11093       0.30531
      -6.09493       0.30559
      -6.07793       0.29960
      -6.06193       0.29754
      -6.04593       0.30396
      -6.02993       0.31631
      -6.01393       0.32876
      -5.99793       0.33728
      -5.98193       0.34110
      -5.96593       0.34100
      -5.94993       0.33778
      -5.93393       0.33339
      -5.91793       0.33208
      -5.90193       0.33806
      -5.88593       0.35124
      -5.86993       0.36611
      -5.85393       0.37564
      -5.83793       0.37546
      -5.82093       0.36499
      -5.80493       0.34645
      -5.78893       0.32437
      -5.77293       0.30549
      -5.75693       0.29680
      -5.74093       0.30187
      -5.72493       0.31781
      -5.70893       0.33599
      -5.69293       0.34771
      -5.67693       0.35024
      -5.66093       0.34827
      -5.64493       0.34956
      -5.62893       0.35908
      -5.61293       0.37710
      -5.59693       0.40059
      -5.58093       0.42562
      -5.56393       0.44889
      -5.54793       0.46798
      -5.53193       0.48209
      -5.51593       0.49226
      -5.49993       0.50078
      -5.48393       0.50985
      -5.46793       0.52038
      -5.45193       0.53253
      -5.43593       0.54726
      -5.41993       0.56700
      -5.40393       0.59498
      -5.38793       0.63360
      -5.37193       0.68415
      -5.35593       0.74812
      -5.33993       0.82685
      -5.32393       0.92274
      -5.30693       1.03747
      -5.29093       1.16716
      -5.27493       1.29511
      -5.25893       1.39436
      -5.24293       1.44303
      -5.22693       1.44252
      -5.21093       1.41583
      -5.19493       1.39180
      -5.17893       1.38781
      -5.16293       1.40757
      -5.14693       1.44490
      -5.13093       1.48583
      -5.11493       1.51008
      -5.09893       1.50121
      -5.08293       1.45811
      -5.06693       1.39850
      -5.04993       1.34958
      -5.03393       1.32996
      -5.01793       1.33835
      -5.00193       1.35412
      -4.98593       1.35108
      -4.96993       1.31567
      -4.95393       1.25729
      -4.93793       1.19743
      -4.92193       1.14959
      -4.90593       1.11152
      -4.88993       1.07088
      -4.87393       1.01744
      -4.85793       0.94875
      -4.84193       0.87445
      -4.82593       0.81477
      -4.80993       0.79363
      -4.79293       0.82708
      -4.77693       0.91432
      -4.76093       1.03754
      -4.74493       1.17213
      -4.72893       1.30057
      -4.71293       1.41770
      -4.69693       1.52650
      -4.68093       1.62700
      -4.66493       1.71020
      -4.64893       1.75970
      -4.63293       1.76550
      -4.61693       1.73170
      -4.60093       1.67870
      -4.58493       1.62700
      -4.56893       1.58510
      -4.55293       1.54860
      -4.53593       1.51090
      -4.51993       1.47300
      -4.50393       1.44426
      -4.48793       1.43672
      -4.47193       1.45764
      -4.45593       1.50406
      -4.43993       1.56039
      -4.42393       1.60329
      -4.40793       1.61325
      -4.39193       1.58644
      -4.37593       1.53515
      -4.35993       1.47516
      -4.34393       1.41368
      -4.32793       1.34912
      -4.31193       1.28091
      -4.29593       1.21694
      -4.27893       1.16805
      -4.26293       1.14127
      -4.24693       1.13910
      -4.23093       1.15776
      -4.21493       1.18867
      -4.19893       1.22161
      -4.18293       1.24902
      -4.16693       1.27027
      -4.15093       1.28881
      -4.13493       1.30845
      -4.11893       1.32750
      -4.10293       1.33923
      -4.08693       1.33385
      -4.07093       1.30686
      -4.05493       1.26376
      -4.03893       1.21791
      -4.02193       1.18209
      -4.00593       1.16198
      -3.98993       1.15938
      -3.97393       1.17710
      -3.95793       1.22040
      -3.94193       1.29011
      -3.92593       1.37590
      -3.90993       1.45760
      -3.89393       1.51200
      -3.87793       1.52460
      -3.86193       1.49740
      -3.84593       1.44600
      -3.82993       1.39188
      -3.81393       1.35232
      -3.79793       1.33388
      -3.78193       1.33454
      -3.76493       1.35092
      -3.74893       1.37909
      -3.73293       1.41493
      -3.71693       1.45100
      -3.70093       1.48060
      -3.68493       1.50350
      -3.66893       1.52600
      -3.65293       1.55920
      -3.63693       1.61340
      -3.62093       1.69170
      -3.60493       1.78750
      -3.58893       1.88430
      -3.57293       1.96260
      -3.55693       2.01040
      -3.54093       2.02460
      -3.52493       2.01460
      -3.50793       1.99630
      -3.49193       1.98720
      -3.47593       1.99720
      -3.45993       2.02830
      -3.44393       2.07870
      -3.42793       2.14450
      -3.41193       2.21560
      -3.39593       2.27710
      -3.37993       2.31900
      -3.36393       2.34340
      -3.34793       2.35690
      -3.33193       2.35680
      -3.31593       2.33410
      -3.29993       2.28810
      -3.28393       2.23840
      -3.26793       2.21850
      -3.25093       2.25840
      -3.23493       2.37160
      -3.21893       2.54390
      -3.20293       2.73890
      -3.18693       2.90910
      -3.17093       3.02040
      -3.15493       3.06230
      -3.13893       3.04930
      -3.12293       3.00690
      -3.10693       2.96000
      -3.09093       2.92740
      -3.07493       2.92070
      -3.05893       2.94030
      -3.04293       2.97730
      -3.02693       3.02010
      -3.01093       3.06580
      -2.99393       3.11650
      -2.97793       3.17390
      -2.96193       3.23390
      -2.94593       3.28640
      -2.92993       3.32230
      -2.91393       3.34050
      -2.89793       3.35080
      -2.88193       3.36420
      -2.86593       3.38220
      -2.84993       3.39750
      -2.83393       3.40540
      -2.81793       3.40820
      -2.80193       3.41130
      -2.78593       3.41390
      -2.76993       3.40840
      -2.75393       3.38720
      -2.73693       3.34700
      -2.72093       3.29730
      -2.70493       3.26470
      -2.68893       3.28260
      -2.67293       3.36900
      -2.65693       3.50400
      -2.64093       3.64180
      -2.62493       3.74010
      -2.60893       3.78090
      -2.59293       3.76410
      -2.57693       3.69270
      -2.56093       3.57390
      -2.54493       3.42840
      -2.52893       3.28830
      -2.51293       3.17900
      -2.49693       3.10440
      -2.47993       3.05620
      -2.46393       3.02730
      -2.44793       3.01820
      -2.43193       3.03010
      -2.41593       3.05370
      -2.39993       3.06880
      -2.38393       3.05620
      -2.36793       3.00970
      -2.35193       2.93710
      -2.33593       2.85280
      -2.31993       2.77520
      -2.30393       2.72370
      -2.28793       2.71210
      -2.27193       2.73720
      -2.25593       2.77700
      -2.23993       2.80450
      -2.22293       2.80980
      -2.20693       2.80690
      -2.19093       2.82450
      -2.17493       2.88190
      -2.15893       2.97460
      -2.14293       3.08230
      -2.12693       3.18780
      -2.11093       3.28790
      -2.09493       3.38820
      -2.07893       3.49410
      -2.06293       3.60560
      -2.04693       3.71550
      -2.03093       3.81190
      -2.01493       3.88760
      -1.99893       3.94610
      -1.98293       4.00140
      -1.96593       4.06580
      -1.94993       4.12900
      -1.93393       4.14930
      -1.91793       4.07760
      -1.90193       3.90210
      -1.88593       3.67340
      -1.86993       3.47550
      -1.85393       3.36660
      -1.83793       3.34780
      -1.82193       3.38210
      -1.80593       3.43260
      -1.78993       3.48780
      -1.77393       3.55160
      -1.75793       3.62530
      -1.74193       3.69100
      -1.72593       3.71660
      -1.70893       3.67870
      -1.69293       3.58620
      -1.67693       3.47920
      -1.66093       3.40370
      -1.64493       3.38180
      -1.62893       3.40680
      -1.61293       3.45420
      -1.59693       3.50220
      -1.58093       3.54070
      -1.56493       3.57180
      -1.54893       3.60190
      -1.53293       3.62910
      -1.51693       3.64410
      -1.50093       3.63920
      -1.48493       3.62300
      -1.46893       3.61670
      -1.45193       3.64520
      -1.43593       3.72090
      -1.41993       3.83700
      -1.40393       3.96360
      -1.38793       4.06220
      -1.37193       4.11140
      -1.35593       4.13000
      -1.33993       4.15650
      -1.32393       4.21650
      -1.30793       4.30710
      -1.29193       4.41160
      -1.27593       4.51350
      -1.25993       4.58950
      -1.24393       4.60900
      -1.22793       4.55380
      -1.21193       4.44490
      -1.19493       4.33960
      -1.17893       4.29680
      -1.16293       4.33770
      -1.14693       4.43120
      -1.13093       4.51910
      -1.11493       4.55650
      -1.09893       4.53820
      -1.08293       4.49070
      -1.06693       4.44830
      -1.05093       4.42710
      -1.03493       4.41660
      -1.01893       4.39150
      -1.00293       4.34260
      -0.98693       4.29290
      -0.97093       4.28530
      -0.95493       4.34900
      -0.93793       4.47760
      -0.92193       4.63310
      -0.90593       4.77410
      -0.88993       4.87700
      -0.87393       4.93040
      -0.85793       4.92580
      -0.84193       4.86110
      -0.82593       4.75260
      -0.80993       4.62980
      -0.79393       4.50550
      -0.77793       4.37400
      -0.76193       4.23800
      -0.74593       4.12740
      -0.72993       4.07960
      -0.71393       4.10910
      -0.69793       4.20520
      -0.68093       4.35070
      -0.66493       4.52680
      -0.64893       4.70400
      -0.63293       4.84090
      -0.61693       4.90530
      -0.60093       4.89190
      -0.58493       4.81990
      -0.56893       4.71500
      -0.55293       4.59830
      -0.53693       4.48890
      -0.52093       4.41060
      -0.50493       4.39370
      -0.48893       4.47270
      -0.47293       4.67340
      -0.45693       5.00320
      -0.44093       5.44270
      -0.42393       5.94650
      -0.40793       6.44290
      -0.39193       6.84690
      -0.37593       7.08660
      -0.35993       7.13610
      -0.34393       7.00460
      -0.32793       6.72670
      -0.31193       6.34620
      -0.29593       5.92460
      -0.27993       5.53330
      -0.26393       5.23310
      -0.24793       5.04130
      -0.23193       4.92270
      -0.21593       4.80650
      -0.19993       4.62800
      -0.18393       4.36350
      -0.16693       4.03640
      -0.15093       3.69720
      -0.13493       3.39700
      -0.11893       3.16870
      -0.10293       3.02070
      -0.08693       2.93400
      -0.07093       2.87110
      -0.05493       2.79380
      -0.03893       2.68130
      -0.02293       2.53760
      -0.00693       2.38795
       0.00907       2.26247
       0.02507       2.18072
       0.04107       2.14572
       0.05707       2.15247
       0.07307       2.19100
       0.09007       2.24059
       0.10607       2.27220
       0.12207       2.26287
       0.13807       2.21190
       0.15407       2.13355
       0.17007       2.03456
       0.18607       1.90922
       0.20207       1.75506
       0.21807       1.59180
       0.23407       1.45705
       0.25007       1.38444
       0.26607       1.38340
       0.28207       1.43428
       0.29807       1.50181
       0.31407       1.55079
       0.33007       1.55614
       0.34707       1.50697
       0.36307       1.41233
       0.37907       1.29724
       0.39507       1.18083
       0.41107       1.05876
       0.42707       0.91932
       0.44307       0.77777
       0.45907       0.68450
       0.47507       0.68834
       0.49107       0.79378
       0.50707       0.94957
       0.52307       1.08043
       0.53907       1.13558
       0.55507       1.11462
       0.57107       1.04874
       0.58707       0.96364
       0.60407       0.86604
       0.62007       0.76055
       0.63607       0.66106
       0.65207       0.58146
       0.66807       0.52143
       0.68407       0.46906
       0.70007       0.41410
       0.71607       0.35825
       0.73207       0.31582
       0.74807       0.30311
       0.76407       0.32349
       0.78007       0.36301
       0.79607       0.40181
       0.81207       0.42804
       0.82807       0.43904
       0.84407       0.43345
       0.86107       0.40961
       0.87707       0.37171
       0.89307       0.33242
       0.90907       0.30555
       0.92507       0.29718
       0.94107       0.30486
       0.95707       0.32288
       0.97307       0.34685
       0.98907       0.37556
       1.00507       0.41017
       1.02107       0.45133
       1.03707       0.49622
       1.05307       0.53757
       1.06907       0.56405
       1.08507       0.56383
       1.10107       0.53171
       1.11807       0.47492
       1.13407       0.41202
       1.15007       0.36569
       1.16607       0.35421
       1.18207       0.38386
       1.19807       0.44485
       1.21407       0.51430
       1.23007       0.56676
       1.24607       0.58545
       1.26207       0.56593
       1.27807       0.51296
       1.29407       0.43656
       1.31007       0.35320
       1.32607       0.28277
       1.34207       0.24366
       1.35807       0.24584
       1.37507       0.28754
       1.39107       0.35540
       1.40707       0.42897
       1.42307       0.48998
       1.43907       0.52972
       1.45507       0.54780
       1.47107       0.54616
       1.48707       0.52713
       1.50307       0.49701
       1.51907       0.46694
       1.53507       0.44637
       1.55107       0.43476
       1.56707       0.42127
       1.58307       0.39450
       1.59907       0.35297
       1.61507       0.30600
       1.63207       0.26406
       1.64807       0.23083
       1.66407       0.20419
       1.68007       0.18211
       1.69607       0.16510
       1.71207       0.15418
       1.72807       0.15004
       1.74407       0.15368
       1.76007       0.16526
       1.77607       0.18160
       1.79207       0.19717
       1.80807       0.20955
       1.82407       0.22221
       1.84007       0.24024
       1.85607       0.26191
       1.87207       0.27644
       1.88907       0.27179
       1.90507       0.24591
       1.92107       0.21066
       1.93707       0.18425
       1.95307       0.18054
       1.96907       0.20397
       1.98507       0.25155
       2.00107       0.31704
       2.01707       0.39291
       2.03307       0.46928
       2.04907       0.53353
       2.06507       0.57514
       2.08107       0.59540
       2.09707       0.61033
       2.11307       0.63566
       2.12907       0.67018
       2.14607       0.69401
       2.16207       0.68748
       2.17807       0.64875
       2.19407       0.59360
       2.21007       0.54133
       2.22607       0.50409
       2.24207       0.48337
       2.25807       0.47249
       2.27407       0.46132
       2.29007       0.44319
       2.30607       0.41680
       2.32207       0.38207
       2.33807       0.33811
       2.35407       0.28474
       2.37007       0.22557
       2.38607       0.16927
       2.40307       0.12642
       2.41907       0.10397
       2.43507       0.10202
       2.45107       0.11575
       2.46707       0.13983
       2.48307       0.17005
       2.49907       0.20126
       2.51507       0.22649
       2.53107       0.23953
       2.54707       0.23874
       2.56307       0.22770
       2.57907       0.21255
       2.59507       0.19945
       2.61107       0.19399
       2.62707       0.19965
       2.64307       0.21477
       2.66007       0.23156
       2.67607       0.24095
       2.69207       0.23938
       2.70807       0.23021
       2.72407       0.21825
       2.74007       0.20467
       2.75607       0.18966
       2.77207       0.17945
       2.78807       0.18838
       2.80407       0.23034
       2.82007       0.30469
       2.83607       0.39036
       2.85207       0.45864
       2.86807       0.49572
       2.88407       0.51125
       2.90007       0.52175
       2.91707       0.52952
       2.93307       0.52219
       2.94907       0.49163
       2.96507       0.44533
       2.98107       0.39849
       2.99707       0.36110
       3.01307       0.33655
       3.02907       0.32577
       3.04507       0.32608
       3.06107       0.32718
       3.07707       0.31657
       3.09307       0.29097
       3.10907       0.25897
       3.12507       0.23187
       3.14107       0.21574
       3.15707       0.21208
       3.17307       0.22005
       3.19007       0.23454
       3.20607       0.24552
       3.22207       0.24433
       3.23807       0.23113
       3.25407       0.21357
       3.27007       0.19813
       3.28607       0.18452
       3.30207       0.16887
       3.31807       0.14963
       3.33407       0.12923
       3.35007       0.11150
       3.36607       0.09939
       3.38207       0.09447
       3.39807       0.09580
       3.41407       0.09901
       3.43007       0.09861
       3.44707       0.09234
       3.46307       0.08374
       3.47907       0.08078
       3.49507       0.09232
       3.51107       0.12350
       3.52707       0.17158
       3.54307       0.22381
       3.55907       0.26228
       3.57507       0.27402
       3.59107       0.25941
       3.60707       0.23125
       3.62307       0.20551
       3.63907       0.19303
       3.65507       0.19651
       3.67107       0.21293
       3.68707       0.23682
       3.70407       0.26146
       3.72007       0.27895
       3.73607       0.28291
       3.75207       0.27293
       3.76807       0.25659
       3.78407       0.24463
       3.80007       0.24323
       3.81607       0.24930
       3.83207       0.25203
       3.84807       0.24112
       3.86407       0.21489
       3.88007       0.18307
       3.89607       0.16062
       3.91207       0.15754
       3.92807       0.17189
       3.94407       0.19150
       3.96107       0.20271
       3.97707       0.20002
       3.99307       0.18839
       4.00907       0.17748
       4.02507       0.17356
       4.04107       0.17609
       4.05707       0.18012
       4.07307       0.18160
       4.08907       0.18072
       4.10507       0.18054
       4.12107       0.18252
       4.13707       0.18395
       4.15307       0.18033
       4.16907       0.17070
       4.18507       0.15941
       4.20107       0.15276
       4.21807       0.15406
       4.23407       0.16217
       4.25007       0.17335
       4.26607       0.18399
       4.28207       0.19116
       4.29807       0.19198
       4.31407       0.18307
       4.33007       0.16255
       4.34607       0.13218
       4.36207       0.09799
       4.37807       0.06757
       4.39407       0.04622
       4.41007       0.03512
       4.42607       0.03250
       4.44207       0.03595
       4.45807       0.04376
       4.47507       0.05467
       4.49107       0.06681
