,ratio,current,activity
0,0.0,2.1621554411978055e-16,-0.40497450352662595
23,0.015625,3.2325609760163463e-16,-0.42471072847640395
32,0.125,4.561128794034493e-13,-0.33266925069731024
37,0.140625,6.692067356880374e-13,-0.3266737765991742
33,0.25,8.629704229926246e-13,-0.3948211522596632
26,0.375,1.2892866790136055e-14,-0.4267894939308102
27,0.5,2.9616736526947564e-17,-0.4683013911917852
28,0.625,1.0092335007157384e-17,-0.5023373793551915
21,0.75,1.5725220600040125e-13,-0.6327379080666413
22,0.875,1.1389754392435988e-15,-0.9429122380523872
8,1.0,2.5087413244278193e-49,-1.2564212664959273
