,ratio,current,activity
0,0.0,4.0228713844742236e-18,-0.44970753150367665
39,0.09375,4.366895287926083e-13,-0.40784937973698127
48,0.125,1.0966482783818061e-13,-0.3574112044826672
49,0.25,2.143247262370651e-12,-0.33532007919038875
47,0.265625,7.969000420760548e-13,-0.39168710334998497
23,0.28125,6.506686493908727e-16,-0.44082934202602575
50,0.375,1.512558060459705e-13,-0.3554700068706601
43,0.5,2.304822263716663e-13,-0.3799584285602335
44,0.625,9.51808989216004e-13,-0.37682965612371866
55,0.65625,3.010350900647998e-15,-0.3995482751536719
45,0.75,4.302082024664181e-13,-0.38726289222594407
30,0.875,1.1713661728058635e-12,-0.43474490109940256
8,1.0,6.057074133136006e-48,-1.2206729397917773
