,ratio,current,activity
0,0.0,7.781716386342287e-17,-0.4164479188007891
46,0.125,7.019426250772694e-15,-0.38025305990746827
10,0.25,1.4718509147453545e-12,-0.3621809269308851
53,0.359375,2.7183193264290624e-12,-0.3218379353576212
25,0.375,2.4859148420132834e-12,-0.3420281338230693
19,0.5,1.9412394074700306e-12,-0.35487262955270543
27,0.625,1.1673407634820868e-13,-0.4052135948107068
29,0.65625,1.873593052793825e-13,-0.4026174500882068
51,0.75,1.1203744413056095e-13,-0.4075800585757447
52,0.875,1.1214037156590569e-12,-0.6234519638983111
8,1.0,1.8100013195944375e-70,-1.8029784852970758
