,ratio,current,activity
0,0.0,1.5530654188847468e-17,-0.4345413625920101
24,0.0625,6.927205761254404e-17,-0.4264002400283523
56,0.109375,6.678482248986837e-16,-0.4260270444907481
9,0.125,6.245577268628812e-16,-0.4267720408770511
40,0.140625,5.150632296586092e-16,-0.4281821146495792
10,0.25,2.3390957816477305e-16,-0.4324408228953119
11,0.375,1.3485425176167368e-16,-0.43860236425988725
12,0.5,7.734814416308663e-17,-0.44480445078228037
13,0.625,4.416892971472397e-17,-0.4510390195909506
14,0.75,1.0241571111775972e-18,-0.4650680030485495
47,0.875,6.380622663921179e-19,-0.5311387827864416
8,1.0,6.912130980445884e-24,-0.5987423516320407
