      #Energy        PDOS
      -9.62474       0.00000
      -9.60774       0.00000
      -9.59174       0.00000
      -9.57474       0.00000
      -9.55874       0.00000
      -9.54174       0.00000
      -9.52474       0.00000
      -9.50874       0.00000
      -9.49174       0.00000
      -9.47574       0.00000
      -9.45874       0.00000
      -9.44274       0.00000
      -9.42574       0.00000
      -9.40974       0.00000
      -9.39274       0.00000
      -9.37674       0.00000
      -9.35974       0.00000
      -9.34374       0.00000
      -9.32674       0.00000
      -9.31074       0.00000
      -9.29374       0.00000
      -9.27774       0.00000
      -9.26074       0.00000
      -9.24474       0.00000
      -9.22774       0.00000
      -9.21074       0.00000
      -9.19474       0.00000
      -9.17774       0.00000
      -9.16174       0.00000
      -9.14474       0.00000
      -9.12874       0.00000
      -9.11174       0.00000
      -9.09574       0.00000
      -9.07874       0.00000
      -9.06274       0.00000
      -9.04574       0.00000
      -9.02974       0.00000
      -9.01274       0.00000
      -8.99674       0.00000
      -8.97974       0.00000
      -8.96374       0.00000
      -8.94674       0.00000
      -8.93074       0.00000
      -8.91374       0.00000
      -8.89674       0.00001
      -8.88074       0.00002
      -8.86374       0.00003
      -8.84774       0.00006
      -8.83074       0.00008
      -8.81474       0.00009
      -8.79774       0.00010
      -8.78174       0.00010
      -8.76474       0.00014
      -8.74874       0.00021
      -8.73174       0.00031
      -8.71574       0.00040
      -8.69874       0.00048
      -8.68274       0.00051
      -8.66574       0.00048
      -8.64974       0.00039
      -8.63274       0.00028
      -8.61674       0.00018
      -8.59974       0.00017
      -8.58274       0.00028
      -8.56674       0.00055
      -8.54974       0.00093
      -8.53374       0.00128
      -8.51674       0.00145
      -8.50074       0.00136
      -8.48374       0.00113
      -8.46774       0.00096
      -8.45074       0.00095
      -8.43474       0.00101
      -8.41774       0.00101
      -8.40174       0.00085
      -8.38474       0.00060
      -8.36874       0.00039
      -8.35174       0.00033
      -8.33574       0.00050
      -8.31874       0.00094
      -8.30274       0.00162
      -8.28574       0.00245
      -8.26874       0.00326
      -8.25274       0.00382
      -8.23574       0.00387
      -8.21974       0.00334
      -8.20274       0.00242
      -8.18674       0.00152
      -8.16974       0.00097
      -8.15374       0.00091
      -8.13674       0.00128
      -8.12074       0.00180
      -8.10374       0.00214
      -8.08774       0.00209
      -8.07074       0.00167
      -8.05474       0.00120
      -8.03774       0.00104
      -8.02174       0.00148
      -8.00474       0.00259
      -7.98874       0.00408
      -7.97174       0.00538
      -7.95474       0.00602
      -7.93874       0.00608
      -7.92174       0.00612
      -7.90574       0.00653
      -7.88874       0.00694
      -7.87274       0.00666
      -7.85574       0.00541
      -7.83974       0.00361
      -7.82274       0.00200
      -7.80674       0.00104
      -7.78974       0.00086
      -7.77374       0.00141
      -7.75674       0.00255
      -7.74074       0.00397
      -7.72374       0.00521
      -7.70774       0.00601
      -7.69074       0.00663
      -7.67474       0.00767
      -7.65774       0.00953
      -7.64074       0.01204
      -7.62474       0.01458
      -7.60774       0.01646
      -7.59174       0.01717
      -7.57474       0.01668
      -7.55874       0.01561
      -7.54174       0.01508
      -7.52574       0.01583
      -7.50874       0.01740
      -7.49274       0.01817
      -7.47574       0.01665
      -7.45974       0.01290
      -7.44274       0.00852
      -7.42674       0.00544
      -7.40974       0.00473
      -7.39374       0.00637
      -7.37674       0.00950
      -7.36074       0.01278
      -7.34374       0.01498
      -7.32674       0.01563
      -7.31074       0.01531
      -7.29374       0.01535
      -7.27774       0.01693
      -7.26074       0.02025
      -7.24474       0.02429
      -7.22774       0.02760
      -7.21174       0.02910
      -7.19474       0.02848
      -7.17874       0.02639
      -7.16174       0.02455
      -7.14574       0.02511
      -7.12874       0.02876
      -7.11274       0.03337
      -7.09574       0.03506
      -7.07974       0.03135
      -7.06274       0.02342
      -7.04574       0.01508
      -7.02974       0.00995
      -7.01274       0.00942
      -6.99674       0.01250
      -6.97974       0.01662
      -6.96374       0.01898
      -6.94674       0.01839
      -6.93074       0.01651
      -6.91374       0.01739
      -6.89774       0.02512
      -6.88074       0.04094
      -6.86474       0.06135
      -6.84774       0.07945
      -6.83174       0.08945
      -6.81474       0.09017
      -6.79874       0.08393
      -6.78174       0.07314
      -6.76574       0.05960
      -6.74874       0.04625
      -6.73174       0.03708
      -6.71574       0.03422
      -6.69874       0.03652
      -6.68274       0.04141
      -6.66574       0.04833
      -6.64974       0.06098
      -6.63274       0.08675
      -6.61674       0.13177
      -6.59974       0.19326
      -6.58374       0.25670
      -6.56674       0.30534
      -6.55074       0.33603
      -6.53374       0.36237
      -6.51774       0.39798
      -6.50074       0.43809
      -6.48474       0.46218
      -6.46774       0.45414
      -6.45174       0.41652
      -6.43474       0.36477
      -6.41774       0.31431
      -6.40174       0.27384
      -6.38474       0.24891
      -6.36874       0.24936
      -6.35174       0.28860
      -6.33574       0.37083
      -6.31874       0.47748
      -6.30274       0.57501
      -6.28574       0.63900
      -6.26974       0.66981
      -6.25274       0.68184
      -6.23674       0.68124
      -6.21974       0.66141
      -6.20374       0.61602
      -6.18674       0.55197
      -6.17074       0.48939
      -6.15374       0.45447
      -6.13774       0.47190
      -6.12074       0.55224
      -6.10374       0.67791
      -6.08774       0.80076
      -6.07074       0.86292
      -6.05474       0.83448
      -6.03774       0.73650
      -6.02174       0.63261
      -6.00474       0.58344
      -5.98874       0.60417
      -5.97174       0.66033
      -5.95574       0.70323
      -5.93874       0.71193
      -5.92274       0.70680
      -5.90574       0.72651
      -5.88974       0.79677
      -5.87274       0.91368
      -5.85674       1.04982
      -5.83974       1.17534
      -5.82374       1.28112
      -5.80674       1.38156
      -5.78974       1.49214
      -5.77374       1.59870
      -5.75674       1.65918
      -5.74074       1.64376
      -5.72374       1.58235
      -5.70774       1.56939
      -5.69074       1.70580
      -5.67474       2.01450
      -5.65774       2.41077
      -5.64174       2.75151
      -5.62474       2.93241
      -5.60874       2.94528
      -5.59174       2.87568
      -5.57574       2.85210
      -5.55874       2.98062
      -5.54274       3.25686
      -5.52574       3.53478
      -5.50974       3.62532
      -5.49274       3.46788
      -5.47574       3.17652
      -5.45974       2.91381
      -5.44274       2.75937
      -5.42674       2.72049
      -5.40974       2.79666
      -5.39374       2.96850
      -5.37674       3.14838
      -5.36074       3.20772
      -5.34374       3.07674
      -5.32774       2.80476
      -5.31074       2.50668
      -5.29474       2.25738
