      #Energy        PDOS
      -9.57993       0.00000
      -9.56393       0.00000
      -9.54793       0.00000
      -9.53193       0.00000
      -9.51593       0.00000
      -9.49993       0.00000
      -9.48393       0.00000
      -9.46793       0.00000
      -9.45193       0.00000
      -9.43493       0.00000
      -9.41893       0.00000
      -9.40293       0.00000
      -9.38693       0.00000
      -9.37093       0.00000
      -9.35493       0.00000
      -9.33893       0.00000
      -9.32293       0.00000
      -9.30693       0.00000
      -9.29093       0.00000
      -9.27493       0.00000
      -9.25893       0.00000
      -9.24293       0.00000
      -9.22693       0.00000
      -9.21093       0.00000
      -9.19493       0.00000
      -9.17793       0.00000
      -9.16193       0.00000
      -9.14593       0.00000
      -9.12993       0.00000
      -9.11393       0.00000
      -9.09793       0.00000
      -9.08193       0.00000
      -9.06593       0.00000
      -9.04993       0.00000
      -9.03393       0.00000
      -9.01793       0.00000
      -9.00193       0.00000
      -8.98593       0.00000
      -8.96993       0.00000
      -8.95393       0.00000
      -8.93793       0.00000
      -8.92093       0.00000
      -8.90493       0.00000
      -8.88893       0.00000
      -8.87293       0.00000
      -8.85693       0.00001
      -8.84093       0.00001
      -8.82493       0.00002
      -8.80893       0.00003
      -8.79293       0.00004
      -8.77693       0.00004
      -8.76093       0.00004
      -8.74493       0.00004
      -8.72893       0.00005
      -8.71293       0.00008
      -8.69693       0.00011
      -8.68093       0.00015
      -8.66393       0.00017
      -8.64793       0.00019
      -8.63193       0.00019
      -8.61593       0.00017
      -8.59993       0.00013
      -8.58393       0.00009
      -8.56793       0.00005
      -8.55193       0.00004
      -8.53593       0.00008
      -8.51993       0.00016
      -8.50393       0.00029
      -8.48793       0.00043
      -8.47193       0.00054
      -8.45593       0.00056
      -8.43993       0.00049
      -8.42393       0.00039
      -8.40693       0.00032
      -8.39093       0.00030
      -8.37493       0.00031
      -8.35893       0.00032
      -8.34293       0.00030
      -8.32693       0.00026
      -8.31093       0.00021
      -8.29493       0.00017
      -8.27893       0.00018
      -8.26293       0.00023
      -8.24693       0.00032
      -8.23093       0.00044
      -8.21493       0.00060
      -8.19893       0.00084
      -8.18293       0.00114
      -8.16693       0.00139
      -8.14993       0.00146
      -8.13393       0.00128
      -8.11793       0.00092
      -8.10193       0.00056
      -8.08593       0.00032
      -8.06993       0.00026
      -8.05393       0.00035
      -8.03793       0.00055
      -8.02193       0.00074
      -8.00593       0.00083
      -7.98993       0.00076
      -7.97393       0.00058
      -7.95793       0.00037
      -7.94193       0.00026
      -7.92593       0.00032
      -7.90993       0.00060
      -7.89293       0.00108
      -7.87693       0.00167
      -7.86093       0.00217
      -7.84493       0.00241
      -7.82893       0.00240
      -7.81293       0.00231
      -7.79693       0.00227
      -7.78093       0.00226
      -7.76493       0.00220
      -7.74893       0.00197
      -7.73293       0.00158
      -7.71693       0.00111
      -7.70093       0.00070
      -7.68493       0.00047
      -7.66893       0.00049
      -7.65293       0.00080
      -7.63593       0.00133
      -7.61993       0.00194
      -7.60393       0.00245
      -7.58793       0.00279
      -7.57193       0.00301
      -7.55593       0.00324
      -7.53993       0.00355
      -7.52393       0.00395
      -7.50793       0.00452
      -7.49193       0.00527
      -7.47593       0.00606
      -7.45993       0.00662
      -7.44393       0.00668
      -7.42793       0.00629
      -7.41193       0.00577
      -7.39593       0.00552
      -7.37893       0.00564
      -7.36293       0.00586
      -7.34693       0.00579
      -7.33093       0.00526
      -7.31493       0.00443
      -7.29893       0.00369
      -7.28293       0.00342
      -7.26693       0.00377
      -7.25093       0.00453
      -7.23493       0.00517
      -7.21893       0.00528
      -7.20293       0.00482
      -7.18693       0.00420
      -7.17093       0.00390
      -7.15493       0.00415
      -7.13893       0.00493
      -7.12193       0.00608
      -7.10593       0.00741
      -7.08993       0.00860
      -7.07393       0.00933
      -7.05793       0.00945
      -7.04193       0.00911
      -7.02593       0.00869
      -7.00993       0.00853
      -6.99393       0.00889
      -6.97793       0.01003
      -6.96193       0.01204
      -6.94593       0.01437
      -6.92993       0.01589
      -6.91393       0.01554
      -6.89793       0.01321
      -6.88193       0.00983
      -6.86493       0.00676
      -6.84893       0.00496
      -6.83293       0.00460
      -6.81693       0.00526
      -6.80093       0.00627
      -6.78493       0.00708
      -6.76893       0.00740
      -6.75293       0.00732
      -6.73693       0.00736
      -6.72093       0.00832
      -6.70493       0.01088
      -6.68893       0.01524
      -6.67293       0.02096
      -6.65693       0.02701
      -6.64093       0.03191
      -6.62493       0.03422
      -6.60793       0.03337
      -6.59193       0.02999
      -6.57593       0.02566
      -6.55993       0.02187
      -6.54393       0.01944
      -6.52793       0.01854
      -6.51193       0.01914
      -6.49593       0.02147
      -6.47993       0.02627
      -6.46393       0.03441
      -6.44793       0.04598
      -6.43193       0.05921
      -6.41593       0.07055
      -6.39993       0.07704
      -6.38393       0.07905
      -6.36793       0.08082
      -6.35193       0.08758
      -6.33493       0.10153
      -6.31893       0.12016
      -6.30293       0.13820
      -6.28693       0.15030
      -6.27093       0.15264
      -6.25493       0.14360
      -6.23893       0.12536
      -6.22293       0.10432
      -6.20693       0.08905
      -6.19093       0.08602
      -6.17493       0.09675
      -6.15893       0.11749
      -6.14293       0.14088
      -6.12693       0.15905
      -6.11093       0.16798
      -6.09493       0.16995
      -6.07793       0.17126
      -6.06193       0.17718
      -6.04593       0.18799
      -6.02993       0.19980
      -6.01393       0.20822
      -5.99793       0.21167
      -5.98193       0.21127
      -5.96593       0.20869
      -5.94993       0.20492
      -5.93393       0.20133
      -5.91793       0.20049
      -5.90193       0.20470
      -5.88593       0.21375
      -5.86993       0.22461
      -5.85393       0.23359
      -5.83793       0.23831
      -5.82093       0.23764
      -5.80493       0.23117
      -5.78893       0.22011
      -5.77293       0.20892
      -5.75693       0.20424
      -5.74093       0.21106
      -5.72493       0.22856
      -5.70893       0.25002
      -5.69293       0.26707
      -5.67693       0.27536
      -5.66093       0.27718
      -5.64493       0.27961
      -5.62893       0.28955
      -5.61293       0.30933
      -5.59693       0.33561
      -5.58093       0.36193
      -5.56393       0.38257
      -5.54793       0.39646
      -5.53193       0.40605
      -5.51593       0.41537
      -5.49993       0.42740
      -5.48393       0.44462
      -5.46793       0.47008
      -5.45193       0.50715
      -5.43593       0.55566
      -5.41993       0.61323
      -5.40393       0.67763
      -5.38793       0.75032
      -5.37193       0.83761
      -5.35593       0.94495
      -5.33993       1.07149
      -5.32393       1.20750
      -5.30693       1.33713
      -5.29093       1.44491
      -5.27493       1.51823
      -5.25893       1.54713
      -5.24293       1.52871
      -5.22693       1.47316
      -5.21093       1.40292
      -5.19493       1.34048
      -5.17893       1.29576
      -5.16293       1.26732
      -5.14693       1.24869
      -5.13093       1.23079
      -5.11493       1.20336
      -5.09893       1.15832
      -5.08293       1.09947
      -5.06693       1.04204
      -5.04993       1.00645
      -5.03393       1.00449
      -5.01793       1.03114
      -5.00193       1.06371
      -4.98593       1.07273
      -4.96993       1.04196
      -4.95393       0.98165
      -4.93793       0.92240
      -4.92193       0.89295
      -4.90593       0.90080
      -4.88993       0.92942
      -4.87393       0.95341
      -4.85793       0.95753
      -4.84193       0.94551
      -4.82593       0.93338
      -4.80993       0.93927
      -4.79293       0.97711
      -4.77693       1.05320
      -4.76093       1.16480
      -4.74493       1.30020
      -4.72893       1.44070
      -4.71293       1.56900
      -4.69693       1.67340
      -4.68093       1.74930
      -4.66493       1.79860
      -4.64893       1.82450
      -4.63293       1.83220
      -4.61693       1.83230
      -4.60093       1.83870
      -4.58493       1.85700
      -4.56893       1.87340
      -4.55293       1.86180
      -4.53593       1.80650
      -4.51993       1.71850
      -4.50393       1.62910
      -4.48793       1.57130
      -4.47193       1.56390
      -4.45593       1.60800
      -4.43993       1.68840
      -4.42393       1.77810
      -4.40793       1.84840
      -4.39193       1.88330
      -4.37593       1.88440
      -4.35993       1.86450
      -4.34393       1.83430
      -4.32793       1.79940
      -4.31193       1.76290
      -4.29593       1.72690
      -4.27893       1.69460
      -4.26293       1.67480
      -4.24693       1.68290
      -4.23093       1.73270
      -4.21493       1.82430
      -4.19893       1.94260
      -4.18293       2.06530
      -4.16693       2.17500
      -4.15093       2.25930
      -4.13493       2.30940
      -4.11893       2.31670
      -4.10293       2.27820
      -4.08693       2.20190
      -4.07093       2.10900
      -4.05493       2.02660
      -4.03893       1.97640
      -4.02193       1.96410
      -4.00593       1.98010
      -3.98993       2.01320
      -3.97393       2.06900
      -3.95793       2.17260
      -3.94193       2.35530
      -3.92593       2.62210
      -3.90993       2.92900
      -3.89393       3.19760
      -3.87793       3.35750
      -3.86193       3.39510
      -3.84593       3.35070
      -3.82993       3.28600
      -3.81393       3.23360
      -3.79793       3.18310
      -3.78193       3.10420
      -3.76493       2.98630
      -3.74893       2.85100
      -3.73293       2.73150
      -3.71693       2.64550
      -3.70093       2.59410
      -3.68493       2.57960
      -3.66893       2.60960
      -3.65293       2.68610
      -3.63693       2.79520
      -3.62093       2.91350
      -3.60493       3.02120
      -3.58893       3.10880
      -3.57293       3.16760
      -3.55693       3.18590
      -3.54093       3.15120
      -3.52493       3.06660
      -3.50793       2.95650
      -3.49193       2.86280
      -3.47593       2.82230
      -3.45993       2.84380
      -3.44393       2.90460
      -3.42793       2.96390
      -3.41193       2.98520
      -3.39593       2.95980
      -3.37993       2.91530
      -3.36393       2.90010
      -3.34793       2.94560
      -3.33193       3.04040
      -3.31593       3.14290
      -3.29993       3.21880
      -3.28393       3.26580
      -3.26793       3.30630
      -3.25093       3.36100
      -3.23493       3.42860
      -3.21893       3.48660
      -3.20293       3.50490
      -3.18693       3.47050
      -3.17093       3.39500
      -3.15493       3.30590
      -3.13893       3.22330
      -3.12293       3.14480
      -3.10693       3.05090
      -3.09093       2.92440
      -3.07493       2.76790
      -3.05893       2.60000
      -3.04293       2.44420
      -3.02693       2.31870
      -3.01093       2.23270
      -2.99393       2.18420
      -2.97793       2.16240
      -2.96193       2.15150
      -2.94593       2.13950
      -2.92993       2.12210
      -2.91393       2.10460
      -2.89793       2.09770
      -2.88193       2.10900
      -2.86593       2.13700
      -2.84993       2.16790
      -2.83393       2.18100
      -2.81793       2.16000
      -2.80193       2.10290
      -2.78593       2.02460
      -2.76993       1.94570
      -2.75393       1.87750
      -2.73693       1.81950
      -2.72093       1.76900
      -2.70493       1.73210
      -2.68893       1.72460
      -2.67293       1.75850
      -2.65693       1.82960
      -2.64093       1.91160
      -2.62493       1.96770
      -2.60893       1.97060
      -2.59293       1.91430
      -2.57693       1.81310
      -2.56093       1.69320
      -2.54493       1.58320
      -2.52893       1.50240
      -2.51293       1.45560
      -2.49693       1.43370
      -2.47993       1.42230
      -2.46393       1.41120
      -2.44793       1.39820
      -2.43193       1.38650
      -2.41593       1.37910
      -2.39993       1.37650
      -2.38393       1.37740
      -2.36793       1.38180
      -2.35193       1.38810
      -2.33593       1.39250
      -2.31993       1.39220
      -2.30393       1.39038
      -2.28793       1.39538
      -2.27193       1.41149
      -2.25593       1.43340
      -2.23993       1.44860
      -2.22293       1.44830
      -2.20693       1.43150
      -2.19093       1.40550
      -2.17493       1.37980
      -2.15893       1.36120
      -2.14293       1.35120
      -2.12693       1.34260
      -2.11093       1.32370
      -2.09493       1.28590
      -2.07893       1.23450
      -2.06293       1.18890
      -2.04693       1.16750
      -2.03093       1.17170
      -2.01493       1.18640
      -1.99893       1.19470
      -1.98293       1.19190
      -1.96593       1.18760
      -1.94993       1.19270
      -1.93393       1.20970
      -1.91793       1.22910
      -1.90193       1.23940
      -1.88593       1.23840
      -1.86993       1.23650
      -1.85393       1.24610
      -1.83793       1.27270
      -1.82193       1.31170
      -1.80593       1.35420
      -1.78993       1.39100
      -1.77393       1.41420
      -1.75793       1.41600
      -1.74193       1.39390
      -1.72593       1.35180
      -1.70893       1.30070
      -1.69293       1.25310
      -1.67693       1.21630
      -1.66093       1.19030
      -1.64493       1.16890
      -1.62893       1.14550
      -1.61293       1.11610
      -1.59693       1.08390
      -1.58093       1.05640
      -1.56493       1.04282
      -1.54893       1.04810
      -1.53293       1.07285
      -1.51693       1.11570
      -1.50093       1.17660
      -1.48493       1.25620
      -1.46893       1.34900
      -1.45193       1.43820
      -1.43593       1.50120
      -1.41993       1.51870
      -1.40393       1.48260
      -1.38793       1.39770
      -1.37193       1.28130
      -1.35593       1.15960
      -1.33993       1.05690
      -1.32393       0.98892
      -1.30793       0.95916
      -1.29193       0.96479
      -1.27593       0.99864
      -1.25993       1.04794
      -1.24393       1.09512
      -1.22793       1.12450
      -1.21193       1.12890
      -1.19493       1.11230
      -1.17893       1.08530
      -1.16293       1.05630
      -1.14693       1.02670
      -1.13093       0.99280
      -1.11493       0.95210
      -1.09893       0.90810
      -1.08293       0.86690
      -1.06693       0.83440
      -1.05093       0.81260
      -1.03493       0.80000
      -1.01893       0.79190
      -1.00293       0.78310
      -0.98693       0.77080
      -0.97093       0.75520
      -0.95493       0.73821
      -0.93793       0.72230
      -0.92193       0.70990
      -0.90593       0.70240
      -0.88993       0.70090
      -0.87393       0.70340
      -0.85793       0.70580
      -0.84193       0.70360
      -0.82593       0.69600
      -0.80993       0.68420
      -0.79393       0.66980
      -0.77793       0.65355
      -0.76193       0.63821
      -0.74593       0.62901
      -0.72993       0.63028
      -0.71393       0.64272
      -0.69793       0.66322
      -0.68093       0.68694
      -0.66493       0.70751
      -0.64893       0.71867
      -0.63293       0.71688
      -0.61693       0.70301
      -0.60093       0.68188
      -0.58493       0.65671
      -0.56893       0.62803
      -0.55293       0.59690
      -0.53693       0.56883
      -0.52093       0.54970
      -0.50493       0.54147
      -0.48893       0.53873
      -0.47293       0.53311
      -0.45693       0.52061
      -0.44093       0.50487
      -0.42393       0.49510
      -0.40793       0.49700
      -0.39193       0.50816
      -0.37593       0.51966
      -0.35993       0.52354
      -0.34393       0.51899
      -0.32793       0.51207
      -0.31193       0.51016
      -0.29593       0.51722
      -0.27993       0.53099
      -0.26393       0.54558
      -0.24793       0.55524
      -0.23193       0.55724
      -0.21593       0.55141
      -0.19993       0.53910
      -0.18393       0.52081
      -0.16693       0.49828
      -0.15093       0.47466
      -0.13493       0.45484
      -0.11893       0.44250
      -0.10293       0.43937
      -0.08693       0.44389
      -0.07093       0.45162
      -0.05493       0.45561
      -0.03893       0.44972
      -0.02293       0.43180
      -0.00693       0.40559
       0.00907       0.37793
       0.02507       0.35409
       0.04107       0.33617
       0.05707       0.32348
       0.07307       0.31543
       0.09007       0.30953
       0.10607       0.30124
       0.12207       0.28673
       0.13807       0.26636
       0.15407       0.24367
       0.17007       0.22208
       0.18607       0.20197
       0.20207       0.18312
       0.21807       0.16681
       0.23407       0.15561
       0.25007       0.15165
       0.26607       0.15527
       0.28207       0.16497
       0.29807       0.17832
       0.31407       0.19206
       0.33007       0.20160
       0.34707       0.20153
       0.36307       0.18865
       0.37907       0.16497
       0.39507       0.13691
       0.41107       0.11106
       0.42707       0.09162
       0.44307       0.08133
       0.45907       0.08271
       0.47507       0.09729
       0.49107       0.12272
       0.50707       0.15175
       0.52307       0.17490
       0.53907       0.18582
       0.55507       0.18443
       0.57107       0.17442
       0.58707       0.15947
       0.60407       0.14210
       0.62007       0.12526
       0.63607       0.11206
       0.65207       0.10330
       0.66807       0.09659
       0.68407       0.08891
       0.70007       0.07964
       0.71607       0.07143
       0.73207       0.06897
       0.74807       0.07574
       0.76407       0.09085
       0.78007       0.10889
       0.79607       0.12331
       0.81207       0.13047
       0.82807       0.12993
       0.84407       0.12247
       0.86107       0.10948
       0.87707       0.09387
       0.89307       0.07992
       0.90907       0.07074
       0.92507       0.06655
       0.94107       0.06598
       0.95707       0.06853
       0.97307       0.07516
       0.98907       0.08683
       1.00507       0.10303
       1.02107       0.12172
       1.03707       0.14033
       1.05307       0.15615
       1.06907       0.16585
       1.08507       0.16536
       1.10107       0.15246
       1.11807       0.12977
       1.13407       0.10488
       1.15007       0.08707
       1.16607       0.08361
       1.18207       0.09779
       1.19807       0.12799
       1.21407       0.16666
       1.23007       0.20110
       1.24607       0.21809
       1.26207       0.21102
       1.27807       0.18274
       1.29407       0.14294
       1.31007       0.10241
       1.32607       0.06935
       1.34207       0.04839
       1.35807       0.04102
       1.37507       0.04588
       1.39107       0.05936
       1.40707       0.07648
       1.42307       0.09296
       1.43907       0.10645
       1.45507       0.11616
       1.47107       0.12163
       1.48707       0.12266
       1.50307       0.12006
       1.51907       0.11555
       1.53507       0.11022
       1.55107       0.10343
       1.56707       0.09396
       1.58307       0.08199
       1.59907       0.06961
       1.61507       0.05936
       1.63207       0.05215
       1.64807       0.04699
       1.66407       0.04244
       1.68007       0.03805
       1.69607       0.03446
       1.71207       0.03238
       1.72807       0.03207
       1.74407       0.03343
       1.76007       0.03597
       1.77607       0.03874
       1.79207       0.04109
       1.80807       0.04382
       1.82407       0.04911
       1.84007       0.05849
       1.85607       0.07034
       1.87207       0.07988
       1.88907       0.08251
       1.90507       0.07757
       1.92107       0.06920
       1.93707       0.06319
       1.95307       0.06309
       1.96907       0.06901
       1.98507       0.07942
       2.00107       0.09277
       2.01707       0.10788
       2.03307       0.12317
       2.04907       0.13642
       2.06507       0.14539
       2.08107       0.14941
       2.09707       0.15053
       2.11307       0.15156
       2.12907       0.15252
       2.14607       0.14963
       2.16207       0.13894
       2.17807       0.12093
       2.19407       0.10074
       2.21007       0.08431
       2.22607       0.07446
       2.24207       0.07036
       2.25807       0.06984
       2.27407       0.07157
       2.29007       0.07477
       2.30607       0.07805
       2.32207       0.07886
       2.33807       0.07478
       2.35407       0.06524
       2.37007       0.05212
       2.38607       0.03903
       2.40307       0.02947
       2.41907       0.02525
       2.43507       0.02583
       2.45107       0.02935
       2.46707       0.03424
       2.48307       0.03985
       2.49907       0.04574
       2.51507       0.05091
       2.53107       0.05384
       2.54707       0.05359
       2.56307       0.05052
       2.57907       0.04618
       2.59507       0.04267
       2.61107       0.04207
       2.62707       0.04572
       2.64307       0.05323
       2.66007       0.06202
       2.67607       0.06850
       2.69207       0.07021
       2.70807       0.06718
       2.72407       0.06099
       2.74007       0.05332
       2.75607       0.04558
       2.77207       0.04015
       2.78807       0.04080
       2.80407       0.05097
       2.82007       0.07062
       2.83607       0.09488
       2.85207       0.11680
       2.86807       0.13226
       2.88407       0.14223
       2.90007       0.14934
       2.91707       0.15304
       2.93307       0.14945
       2.94907       0.13632
       2.96507       0.11653
       2.98107       0.09616
       2.99707       0.08050
       3.01307       0.07193
       3.02907       0.07054
       3.04507       0.07445
       3.06107       0.07990
       3.07707       0.08303
       3.09307       0.08223
       3.10907       0.07840
       3.12507       0.07304
       3.14107       0.06717
       3.15707       0.06200
       3.17307       0.05887
       3.19007       0.05780
       3.20607       0.05688
       3.22207       0.05386
       3.23807       0.04834
       3.25407       0.04203
       3.27007       0.03709
       3.28607       0.03434
       3.30207       0.03300
       3.31807       0.03178
       3.33407       0.02985
       3.35007       0.02723
       3.36607       0.02461
       3.38207       0.02292
       3.39807       0.02264
       3.41407       0.02318
       3.43007       0.02337
       3.44707       0.02260
       3.46307       0.02163
       3.47907       0.02256
       3.49507       0.02768
       3.51107       0.03814
       3.52707       0.05257
       3.54307       0.06690
       3.55907       0.07605
       3.57507       0.07718
       3.59107       0.07166
       3.60707       0.06409
       3.62307       0.05917
       3.63907       0.05917
       3.65507       0.06346
       3.67107       0.06994
       3.68707       0.07664
       3.70407       0.08219
       3.72007       0.08539
       3.73607       0.08519
       3.75207       0.08174
       3.76807       0.07715
       3.78407       0.07427
       3.80007       0.07455
       3.81607       0.07670
       3.83207       0.07731
       3.84807       0.07330
       3.86407       0.06444
       3.88007       0.05412
       3.89607       0.04735
       3.91207       0.04740
       3.92807       0.05350
       3.94407       0.06110
       3.96107       0.06496
       3.97707       0.06293
       3.99307       0.05712
       4.00907       0.05176
       4.02507       0.04970
       4.04107       0.05101
       4.05707       0.05412
       4.07307       0.05767
       4.08907       0.06102
       4.10507       0.06375
       4.12107       0.06487
       4.13707       0.06303
       4.15307       0.05776
       4.16907       0.05067
       4.18507       0.04467
       4.20107       0.04184
       4.21807       0.04211
       4.23407       0.04375
       4.25007       0.04500
       4.26607       0.04520
       4.28207       0.04456
       4.29807       0.04325
       4.31407       0.04082
       4.33007       0.03651
       4.34607       0.03016
       4.36207       0.02270
       4.37807       0.01581
       4.39407       0.01094
       4.41007       0.00870
       4.42607       0.00894
       4.44207       0.01122
       4.45807       0.01514
       4.47507       0.02020
       4.49107       0.02537
